ID,풍속 (m/s)
TEST_00250,6.32
TEST_00251,3.46
TEST_00252,1.08
TEST_00253,1.94
TEST_00254,1.22
TEST_00255,0.78
TEST_00256,2.08
TEST_00257,1.16
TEST_00258,1.68
TEST_00259,4.11
TEST_00260,1.26
TEST_00261,1.17
TEST_00262,1.32
TEST_00263,2.07
TEST_00264,1.85
TEST_00265,2.3
TEST_00266,5.7
TEST_00267,3.01
TEST_00268,1.09
TEST_00269,1.77
TEST_00270,0.66
TEST_00271,5.08
TEST_00272,1.58
TEST_00273,1.3
TEST_00274,2.0
TEST_00275,0.59
TEST_00276,0.58
TEST_00277,1.33
TEST_00278,2.07
TEST_00279,1.24
TEST_00280,2.34
TEST_00281,2.55
TEST_00282,2.99
TEST_00283,0.74
TEST_00284,0.92
TEST_00285,1.88
TEST_00286,1.93
TEST_00287,1.84
TEST_00288,2.52
TEST_00289,1.61
TEST_00290,0.23
TEST_00291,0.92
TEST_00292,1.77
TEST_00293,2.76
TEST_00294,1.9
TEST_00295,1.42
TEST_00296,1.28
TEST_00297,1.18
TEST_00298,3.94
TEST_00299,0.54
TEST_00300,5.15
TEST_00301,1.7
TEST_00302,1.92
TEST_00303,4.6
TEST_00304,0.82
TEST_00305,2.35
TEST_00306,1.15
TEST_00307,3.33
TEST_00308,0.42
TEST_00309,5.4
TEST_00310,4.73
TEST_00311,0.86
TEST_00312,5.42
TEST_00313,2.96
TEST_00314,1.02
TEST_00315,1.05
TEST_00316,1.28
TEST_00317,2.85
TEST_00318,1.32
TEST_00319,0.77
TEST_00320,2.33
TEST_00321,2.65
TEST_00322,3.33
TEST_00323,3.15
TEST_00324,1.1
TEST_00325,3.96
TEST_00326,6.93
TEST_00327,1.92
TEST_00328,2.13
TEST_00329,0.71
TEST_00330,1.33
TEST_00331,0.47
TEST_00332,5.32
TEST_00333,1.5
TEST_00334,1.76
TEST_00335,3.88
TEST_00336,1.28
TEST_00337,1.03
TEST_00338,1.25
TEST_00339,1.53
TEST_00340,3.94
TEST_00341,1.5
TEST_00342,6.11
TEST_00343,4.77
TEST_00344,1.21
TEST_00345,1.72
TEST_00346,0.18
TEST_00347,1.09
TEST_00348,2.13
TEST_00349,0.79
TEST_00350,3.59
TEST_00351,4.75
TEST_00352,1.25
TEST_00353,4.22
TEST_00354,3.52
TEST_00355,4.71
TEST_00356,0.86
TEST_00357,1.81
TEST_00358,1.91
TEST_00359,2.21
TEST_00360,1.45
TEST_00361,1.7
TEST_00362,2.75
TEST_00363,5.55
TEST_00364,1.01
TEST_00365,1.15
TEST_00366,2.4
TEST_00367,0.76
TEST_00368,2.69
TEST_00369,2.99
TEST_00370,1.69
TEST_00371,2.38
TEST_00372,2.81
TEST_00373,0.37
TEST_00374,0.59
TEST_00375,2.77
TEST_00376,0.43
TEST_00377,2.42
TEST_00378,2.05
TEST_00379,0.44
TEST_00380,9.2
TEST_00381,1.77
TEST_00382,0.74
TEST_00383,2.04
TEST_00384,0.17
TEST_00385,0.76
TEST_00386,1.38
TEST_00387,0.81
TEST_00388,1.71
TEST_00389,5.24
TEST_00390,1.25
TEST_00391,0.66
TEST_00392,4.77
TEST_00393,3.15
TEST_00394,2.21
TEST_00395,0.35
TEST_00396,2.5
TEST_00397,3.75
TEST_00398,1.61
TEST_00399,0.77
TEST_00400,2.19
TEST_00401,2.23
TEST_00402,0.77
TEST_00403,1.23
TEST_00404,0.89
TEST_00405,0.7
TEST_00406,0.48
TEST_00407,2.13
TEST_00408,0.84
TEST_00409,1.17
TEST_00410,0.79
TEST_00411,0.46
TEST_00412,0.4
TEST_00413,0.95
TEST_00414,1.07
TEST_00415,2.11
TEST_00416,0.97
TEST_00417,1.83
TEST_00418,1.85
TEST_00419,1.6
TEST_00420,1.27
TEST_00421,2.5
TEST_00422,0.89
TEST_00423,0.34
TEST_00424,1.17
TEST_00425,1.14
TEST_00426,1.08
TEST_00427,2.05
TEST_00428,2.38
TEST_00429,2.26
TEST_00430,0.54
TEST_00431,1.65
TEST_00432,2.23
TEST_00433,5.13
TEST_00434,1.03
TEST_00435,1.99
TEST_00436,2.96
TEST_00437,1.67
TEST_00438,1.39
TEST_00439,1.23
TEST_00440,4.08
TEST_00441,3.85
TEST_00442,0.86
TEST_00443,1.79
TEST_00444,1.1
TEST_00445,0.62
TEST_00446,2.62
TEST_00447,5.89
TEST_00448,2.25
TEST_00449,1.4
TEST_00450,0.49
TEST_00451,0.81
TEST_00452,0.85
TEST_00453,0.8
TEST_00454,1.59
TEST_00455,1.12
TEST_00456,4.36
TEST_00457,2.64
TEST_00458,0.94
TEST_00459,2.31
TEST_00460,1.36
TEST_00461,1.16
TEST_00462,1.77
TEST_00463,0.81
TEST_00464,2.8
TEST_00465,2.02
TEST_00466,0.21
TEST_00467,1.8
TEST_00468,2.51
TEST_00469,0.42
TEST_00470,1.76
TEST_00471,3.18
TEST_00472,3.44
TEST_00473,3.78
TEST_00474,2.14
TEST_00475,2.9
TEST_00476,0.53
TEST_00477,2.45
TEST_00478,2.92
TEST_00479,2.44
TEST_00480,3.34
TEST_00481,4.73
TEST_00482,0.55
TEST_00483,4.05
TEST_00484,3.69
TEST_00485,2.33
TEST_00486,3.59
TEST_00487,1.41
TEST_00488,2.95
TEST_00489,2.31
TEST_00490,5.46
TEST_00491,2.82
TEST_00492,1.72
TEST_00493,4.12
TEST_00494,0.84
TEST_00495,1.81
TEST_00496,3.83
TEST_00497,1.08
TEST_00498,4.31
TEST_00499,2.64
TEST_00500,3.76
TEST_00501,2.32
TEST_00502,3.74
TEST_00503,1.43
TEST_00504,1.23
TEST_00505,1.13
TEST_00506,0.68
TEST_00507,2.57
TEST_00508,0.56
TEST_00509,1.05
TEST_00510,1.29
TEST_00511,1.68
TEST_00512,1.3
TEST_00513,7.49
TEST_00514,3.07
TEST_00515,2.13
TEST_00516,0.79
TEST_00517,0.53
TEST_00518,6.45
TEST_00519,1.31
TEST_00520,4.04
TEST_00521,0.73
TEST_00522,0.76
TEST_00523,1.14
TEST_00524,1.94
TEST_00525,5.22
TEST_00526,2.59
TEST_00527,0.19
TEST_00528,2.92
TEST_00529,0.66
TEST_00530,1.24
TEST_00531,2.39
TEST_00532,1.62
TEST_00533,3.31
TEST_00534,2.41
TEST_00535,2.13
TEST_00536,1.28
TEST_00537,3.64
TEST_00538,0.87
TEST_00539,1.89
TEST_00540,2.17
TEST_00541,1.38
TEST_00542,1.01
TEST_00543,0.88
TEST_00544,1.83
TEST_00545,0.87
TEST_00546,4.29
TEST_00547,2.18
TEST_00548,2.31
TEST_00549,0.49
TEST_00550,0.76
TEST_00551,1.22
TEST_00552,2.73
TEST_00553,3.42
TEST_00554,1.17
TEST_00555,1.86
TEST_00556,1.99
TEST_00557,0.27
TEST_00558,2.31
TEST_00559,1.09
TEST_00560,1.73
TEST_00561,1.61
TEST_00562,0.93
TEST_00563,1.85
TEST_00564,0.39
TEST_00565,3.6
TEST_00566,0.66
TEST_00567,0.76
TEST_00568,0.82
TEST_00569,4.01
TEST_00570,0.99
TEST_00571,2.13
TEST_00572,3.11
TEST_00573,1.96
TEST_00574,4.16
TEST_00575,2.77
TEST_00576,0.42
TEST_00577,2.51
TEST_00578,0.93
TEST_00579,0.99
TEST_00580,4.05
TEST_00581,1.0
TEST_00582,1.63
TEST_00583,3.34
TEST_00584,2.67
TEST_00585,1.77
TEST_00586,0.27
TEST_00587,1.22
TEST_00588,1.88
TEST_00589,3.69
TEST_00590,0.92
TEST_00591,2.01
TEST_00592,1.83
TEST_00593,1.05
TEST_00594,2.19
TEST_00595,1.37
TEST_00596,1.91
TEST_00597,0.58
TEST_00598,1.22
TEST_00599,0.8
TEST_00600,0.89
TEST_00601,1.37
TEST_00602,2.16
TEST_00603,0.84
TEST_00604,3.49
TEST_00605,2.6
TEST_00606,5.81
TEST_00607,2.01
TEST_00608,2.39
TEST_00609,3.45
TEST_00610,2.54
TEST_00611,1.58
TEST_00612,1.68
TEST_00613,2.09
TEST_00614,3.87
TEST_00615,1.23
TEST_00616,0.43
TEST_00617,2.8
TEST_00618,1.64
TEST_00619,2.53
TEST_00620,1.98
TEST_00621,1.25
TEST_00622,0.81
TEST_00623,2.9
TEST_00624,0.7
TEST_00625,1.29
TEST_00626,2.8
TEST_00627,5.98
TEST_00628,1.32
TEST_00629,1.18
TEST_00630,0.55
TEST_00631,0.34
TEST_00632,3.34
TEST_00633,1.0
TEST_00634,1.36
TEST_00635,2.17
TEST_00636,0.6
TEST_00637,0.55
TEST_00638,2.12
TEST_00639,2.81
TEST_00640,0.88
TEST_00641,2.3
TEST_00642,1.48
TEST_00643,0.33
TEST_00644,2.48
TEST_00645,1.6
TEST_00646,5.47
TEST_00647,0.76
TEST_00648,0.48
TEST_00649,4.48
TEST_00650,3.41
TEST_00651,1.29
TEST_00652,1.11
TEST_00653,2.22
TEST_00654,1.0
TEST_00655,4.94
TEST_00656,1.69
TEST_00657,1.99
TEST_00658,1.81
TEST_00659,0.24
TEST_00660,4.03
TEST_00661,2.63
TEST_00662,2.8
TEST_00663,1.71
TEST_00664,0.78
TEST_00665,1.2
TEST_00666,1.16
TEST_00667,0.96
TEST_00668,2.6
TEST_00669,1.8
TEST_00670,1.5
TEST_00671,3.76
TEST_00672,2.87
TEST_00673,0.95
TEST_00674,3.42
TEST_00675,0.61
TEST_00676,3.97
TEST_00677,0.27
TEST_00678,0.89
TEST_00679,3.6
TEST_00680,3.47
TEST_00681,0.98
TEST_00682,0.25
TEST_00683,3.19
TEST_00684,0.95
TEST_00685,5.19
TEST_00686,1.21
TEST_00687,1.62
TEST_00688,2.73
TEST_00689,1.17
TEST_00690,7.37
TEST_00691,1.37
TEST_00692,2.43
TEST_00693,4.94
TEST_00694,2.37
TEST_00695,3.6
TEST_00696,1.05
TEST_00697,1.07
TEST_00698,4.38
TEST_00699,0.34
TEST_00700,2.95
TEST_00701,5.76
TEST_00702,1.91
TEST_00703,1.08
TEST_00704,3.84
TEST_00705,2.33
TEST_00706,2.05
TEST_00707,1.67
TEST_00708,10.57
TEST_00709,0.95
TEST_00710,0.82
TEST_00711,1.91
TEST_00712,1.46
TEST_00713,2.61
TEST_00714,2.06
TEST_00715,2.21
TEST_00716,1.68
TEST_00717,0.35
TEST_00718,2.37
TEST_00719,1.0
TEST_00720,3.25
TEST_00721,0.62
TEST_00722,0.59
TEST_00723,2.52
TEST_00724,0.41
TEST_00725,1.31
TEST_00726,1.8
TEST_00727,1.33
TEST_00728,0.78
TEST_00729,1.32
TEST_00730,2.13
TEST_00731,4.99
TEST_00732,0.74
TEST_00733,2.79
TEST_00734,1.01
TEST_00735,3.05
TEST_00736,0.75
TEST_00737,4.18
TEST_00738,4.42
TEST_00739,1.25
TEST_00740,3.92
TEST_00741,4.19
TEST_00742,1.44
TEST_00743,1.62
TEST_00744,2.54
TEST_00745,1.63
TEST_00746,0.3
TEST_00747,1.59
TEST_00748,4.67
TEST_00749,3.26
TEST_00750,1.62
TEST_00751,2.61
TEST_00752,4.13
TEST_00753,1.55
TEST_00754,5.19
TEST_00755,1.73
TEST_00756,5.96
TEST_00757,2.6
TEST_00758,2.29
TEST_00759,0.45
TEST_00760,0.81
TEST_00761,0.46
TEST_00762,2.66
TEST_00763,1.17
TEST_00764,1.97
TEST_00765,2.96
TEST_00766,1.85
TEST_00767,5.09
TEST_00768,1.86
TEST_00769,2.99
TEST_00770,1.33
TEST_00771,0.97
TEST_00772,1.68
TEST_00773,3.91
TEST_00774,1.62
TEST_00775,0.58
TEST_00776,4.88
TEST_00777,2.33
TEST_00778,0.46
TEST_00779,0.44
TEST_00780,0.95
TEST_00781,4.06
TEST_00782,3.35
TEST_00783,3.17
TEST_00784,2.53
TEST_00785,1.26
TEST_00786,3.02
TEST_00787,4.29
TEST_00788,1.07
TEST_00789,0.9
TEST_00790,2.67
TEST_00791,1.83
TEST_00792,9.07
TEST_00793,1.97
TEST_00794,2.44
TEST_00795,1.48
TEST_00796,1.25
TEST_00797,0.75
TEST_00798,2.09
TEST_00799,0.51
TEST_00800,0.42
TEST_00801,0.76
TEST_00802,1.7
TEST_00803,1.96
TEST_00804,5.11
TEST_00805,0.55
TEST_00806,2.13
TEST_00807,2.57
TEST_00808,1.65
TEST_00809,2.88
TEST_00810,2.41
TEST_00811,2.85
TEST_00812,2.37
TEST_00813,0.91
TEST_00814,0.99
TEST_00815,0.75
TEST_00816,2.83
TEST_00817,1.47
TEST_00818,0.68
TEST_00819,1.65
TEST_00820,0.19
TEST_00821,0.75
TEST_00822,2.14
TEST_00823,0.7
TEST_00824,0.95
TEST_00825,1.58
TEST_00826,0.27
TEST_00827,3.86
TEST_00828,2.26
TEST_00829,0.82
TEST_00830,2.02
TEST_00831,3.13
TEST_00832,1.72
TEST_00833,1.96
TEST_00834,0.92
TEST_00835,0.82
TEST_00836,1.62
TEST_00837,0.49
TEST_00838,1.28
TEST_00839,1.93
TEST_00840,2.08
TEST_00841,0.47
TEST_00842,1.33
TEST_00843,6.93
TEST_00844,0.9
TEST_00845,0.31
TEST_00846,1.29
TEST_00847,3.11
TEST_00848,2.76
TEST_00849,2.85
TEST_00850,0.43
TEST_00851,1.27
TEST_00852,2.3
TEST_00853,0.75
TEST_00854,1.59
TEST_00855,0.58
TEST_00856,2.56
TEST_00857,1.48
TEST_00858,1.08
TEST_00859,1.0
TEST_00860,2.65
TEST_00861,1.82
TEST_00862,0.87
TEST_00863,1.56
TEST_00864,1.19
TEST_00865,1.29
TEST_00866,0.71
TEST_00867,3.42
TEST_00868,2.18
TEST_00869,2.78
TEST_00870,1.41
TEST_00871,4.71
TEST_00872,2.65
TEST_00873,1.77
TEST_00874,1.62
TEST_00875,2.56
TEST_00876,0.89
TEST_00877,1.2
TEST_00878,0.44
TEST_00879,0.54
TEST_00880,1.78
TEST_00881,1.64
TEST_00882,3.34
TEST_00883,1.68
TEST_00884,0.4
TEST_00885,2.89
TEST_00886,4.02
TEST_00887,0.5
TEST_00888,1.5
TEST_00889,3.25
TEST_00890,2.71
TEST_00891,3.42
TEST_00892,2.43
TEST_00893,0.41
TEST_00894,3.02
TEST_00895,1.23
TEST_00896,1.93
TEST_00897,1.61
TEST_00898,0.67
TEST_00899,0.59
TEST_00900,2.6
TEST_00901,1.3
TEST_00902,1.72
TEST_00903,1.04
TEST_00904,3.39
TEST_00905,0.92
TEST_00906,6.59
TEST_00907,5.19
TEST_00908,1.08
TEST_00909,1.92
TEST_00910,0.58
TEST_00911,0.81
TEST_00912,0.92
TEST_00913,2.59
TEST_00914,1.65
TEST_00915,3.22
TEST_00916,0.3
TEST_00917,1.99
TEST_00918,2.74
TEST_00919,2.05
TEST_00920,0.74
TEST_00921,0.58
TEST_00922,2.09
TEST_00923,1.28
TEST_00924,3.62
TEST_00925,2.27
TEST_00926,4.39
TEST_00927,1.45
TEST_00928,0.79
TEST_00929,0.79
TEST_00930,1.15
TEST_00931,2.03
TEST_00932,1.55
TEST_00933,4.26
TEST_00934,1.4
TEST_00935,1.08
TEST_00936,2.04
TEST_00937,0.37
TEST_00938,2.65
TEST_00939,1.59
TEST_00940,1.72
TEST_00941,1.34
TEST_00942,5.04
TEST_00943,4.22
TEST_00944,3.18
TEST_00945,3.46
TEST_00946,1.25
TEST_00947,0.94
TEST_00948,2.98
TEST_00949,3.44
TEST_00950,1.34
TEST_00951,0.62
TEST_00952,0.81
TEST_00953,0.71
TEST_00954,1.66
TEST_00955,1.35
TEST_00956,6.74
TEST_00957,0.68
TEST_00958,3.68
TEST_00959,2.67
TEST_00960,0.35
TEST_00961,1.37
TEST_00962,1.44
TEST_00963,1.6
TEST_00964,0.45
TEST_00965,3.64
TEST_00966,1.92
TEST_00967,3.83
TEST_00968,3.6
TEST_00969,1.21
TEST_00970,1.27
TEST_00971,1.58
TEST_00972,1.93
TEST_00973,2.54
TEST_00974,1.51
TEST_00975,2.76
TEST_00976,0.7
TEST_00977,2.72
TEST_00978,1.02
TEST_00979,1.01
TEST_00980,1.0
TEST_00981,0.21
TEST_00982,3.52
TEST_00983,0.59
TEST_00984,6.38
TEST_00985,3.51
TEST_00986,1.1
TEST_00987,1.04
TEST_00988,1.74
TEST_00989,1.26
TEST_00990,4.15
TEST_00991,1.27
TEST_00992,2.09
TEST_00993,0.83
TEST_00994,1.03
TEST_00995,7.34
TEST_00996,3.07
TEST_00997,1.48
TEST_00998,0.87
TEST_00999,2.33
TEST_01000,5.56
TEST_01001,2.83
TEST_01002,0.51
TEST_01003,1.86
TEST_01004,1.92
TEST_01005,0.49
TEST_01006,0.66
TEST_01007,1.79
TEST_01008,0.52
TEST_01009,7.48
TEST_01010,4.62
TEST_01011,3.92
TEST_01012,2.86
TEST_01013,0.58
TEST_01014,6.69
TEST_01015,1.18
TEST_01016,3.87
TEST_01017,1.7
TEST_01018,2.4
TEST_01019,0.79
TEST_01020,1.32
TEST_01021,1.11
TEST_01022,1.45
TEST_01023,2.18
TEST_01024,3.01
TEST_01025,3.24
TEST_01026,0.72
TEST_01027,1.5
TEST_01028,0.66
TEST_01029,2.14
TEST_01030,1.5
TEST_01031,1.12
TEST_01032,1.01
TEST_01033,2.67
TEST_01034,1.23
TEST_01035,2.29
TEST_01036,1.72
TEST_01037,3.08
TEST_01038,1.03
TEST_01039,2.25
TEST_01040,2.31
TEST_01041,7.76
TEST_01042,1.08
TEST_01043,9.24
TEST_01044,4.27
TEST_01045,7.76
TEST_01046,0.86
TEST_01047,6.0
TEST_01048,0.59
TEST_01049,1.05
TEST_01050,6.34
TEST_01051,5.72
TEST_01052,0.6
TEST_01053,0.61
TEST_01054,0.93
TEST_01055,0.65
TEST_01056,0.75
TEST_01057,1.79
TEST_01058,1.45
TEST_01059,1.06
TEST_01060,0.81
TEST_01061,1.31
TEST_01062,3.42
TEST_01063,1.08
TEST_01064,0.59
TEST_01065,1.23
TEST_01066,1.11
TEST_01067,1.28
TEST_01068,0.46
TEST_01069,1.71
TEST_01070,4.38
TEST_01071,1.66
TEST_01072,3.01
TEST_01073,3.35
TEST_01074,2.56
TEST_01075,0.39
TEST_01076,2.75
TEST_01077,1.99
TEST_01078,6.07
TEST_01079,4.04
TEST_01080,2.4
TEST_01081,1.8
TEST_01082,2.8
TEST_01083,0.37
TEST_01084,3.38
TEST_01085,1.23
TEST_01086,8.7
TEST_01087,3.05
TEST_01088,4.12
TEST_01089,2.67
TEST_01090,7.37
TEST_01091,0.48
TEST_01092,1.14
TEST_01093,1.48
TEST_01094,2.08
TEST_01095,1.28
TEST_01096,1.82
TEST_01097,1.42
TEST_01098,1.87
TEST_01099,1.73
TEST_01100,0.55
TEST_01101,4.69
TEST_01102,4.53
TEST_01103,0.62
TEST_01104,0.36
TEST_01105,6.67
TEST_01106,3.33
TEST_01107,0.51
TEST_01108,1.35
TEST_01109,1.02
TEST_01110,7.2
TEST_01111,0.87
TEST_01112,2.65
TEST_01113,0.32
TEST_01114,0.52
TEST_01115,3.37
TEST_01116,0.95
TEST_01117,2.11
TEST_01118,1.2
TEST_01119,2.35
TEST_01120,0.41
TEST_01121,1.91
TEST_01122,0.89
TEST_01123,3.89
TEST_01124,0.4
TEST_01125,1.88
TEST_01126,2.5
TEST_01127,0.56
TEST_01128,0.93
TEST_01129,1.08
TEST_01130,4.81
TEST_01131,3.47
TEST_01132,0.38
TEST_01133,0.49
TEST_01134,0.38
TEST_01135,5.28
TEST_01136,2.73
TEST_01137,0.69
TEST_01138,1.26
TEST_01139,1.93
TEST_01140,3.37
TEST_01141,0.58
TEST_01142,3.14
TEST_01143,1.3
TEST_01144,0.48
TEST_01145,1.49
TEST_01146,1.03
TEST_01147,2.03
TEST_01148,2.75
TEST_01149,2.51
TEST_01150,1.2
TEST_01151,0.97
TEST_01152,2.99
TEST_01153,2.39
TEST_01154,2.01
TEST_01155,0.43
TEST_01156,0.75
TEST_01157,0.22
TEST_01158,0.49
TEST_01159,4.57
TEST_01160,1.76
TEST_01161,1.84
TEST_01162,0.82
TEST_01163,0.37
TEST_01164,1.91
TEST_01165,1.84
TEST_01166,3.26
TEST_01167,2.24
TEST_01168,0.42
TEST_01169,0.23
TEST_01170,2.73
TEST_01171,0.91
TEST_01172,2.34
TEST_01173,0.97
TEST_01174,1.02
TEST_01175,0.32
TEST_01176,0.64
TEST_01177,3.33
TEST_01178,3.29
TEST_01179,0.96
TEST_01180,0.82
TEST_01181,3.02
TEST_01182,1.86
TEST_01183,1.77
TEST_01184,1.03
TEST_01185,1.39
TEST_01186,1.39
TEST_01187,3.96
TEST_01188,1.21
TEST_01189,3.07
TEST_01190,0.25
TEST_01191,3.38
TEST_01192,3.24
TEST_01193,4.02
TEST_01194,0.87
TEST_01195,3.28
TEST_01196,2.76
TEST_01197,2.88
TEST_01198,1.34
TEST_01199,1.85
TEST_01200,3.4
TEST_01201,0.84
TEST_01202,1.03
TEST_01203,0.74
TEST_01204,0.77
TEST_01205,2.33
TEST_01206,3.6
TEST_01207,0.74
TEST_01208,0.61
TEST_01209,1.26
TEST_01210,0.88
TEST_01211,1.08
TEST_01212,2.87
TEST_01213,0.21
TEST_01214,1.77
TEST_01215,5.53
TEST_01216,3.6
TEST_01217,2.38
TEST_01218,1.83
TEST_01219,0.9
TEST_01220,1.68
TEST_01221,0.74
TEST_01222,1.59
TEST_01223,2.92
TEST_01224,2.88
TEST_01225,1.34
TEST_01226,1.11
TEST_01227,1.19
TEST_01228,1.8
TEST_01229,0.7
TEST_01230,3.4
TEST_01231,1.17
TEST_01232,1.63
TEST_01233,1.22
TEST_01234,4.04
TEST_01235,5.21
TEST_01236,3.83
TEST_01237,0.48
TEST_01238,0.64
TEST_01239,5.07
TEST_01240,1.69
TEST_01241,0.71
TEST_01242,3.36
TEST_01243,1.72
TEST_01244,3.24
TEST_01245,1.99
TEST_01246,0.37
TEST_01247,0.45
TEST_01248,0.94
TEST_01249,2.22
TEST_01250,5.15
TEST_01251,1.91
TEST_01252,1.01
TEST_01253,1.64
TEST_01254,1.7
TEST_01255,3.6
TEST_01256,0.43
TEST_01257,1.25
TEST_01258,2.71
TEST_01259,3.1
TEST_01260,2.19
TEST_01261,1.23
TEST_01262,1.32
TEST_01263,4.07
TEST_01264,1.13
TEST_01265,2.31
TEST_01266,0.88
TEST_01267,5.68
TEST_01268,1.5
TEST_01269,1.33
